CODMUNI;ID;MUNIC;AREA;INDICE94;INDICE95;GINI_91;POP_94;POP_RUR;POP_URB;POP_FEM;POP_MAS;POP_TOT;URBLEVEL;PIB_PC;X_COORD;Y_COORD
5910;624;Santana dos Montes;         197.0;               9.57;              20.64;             0.5002;3988;2678;1466;1994;2150;4144;          0.354;1343;-4.368.060;-2.079.153
5990;625;Santo Antônio do Amparo;         493.1;              16.33;              24.23;             0.6518;14132;4628;9125;6936;6817;13753;          0.663;2484;-4.494.793;-2.092.698
6000;626;Santo Antônio do Aventureiro;         202.5;               4.95;               5.77;             0.4629;3359;1977;1513;1636;1854;3490;          0.434;2625;-4.281.468;-2.176.062
6010;627;Santo Antônio do Grama;         130.2;              10.58;              14.41;             0.5125;4445;2018;2569;2270;2317;4587;          0.560;1368;-4.262.218;-2.032.600
6020;628;Santo Antônio do Itambé;         304.8;              20.38;              15.23;             0.4258;4280;3607;840;2167;2280;4447;          0.189;932;-4.326.908;-1.853.793
6030;629;Santo Antônio do Jacinto;         499.0;               4.67;               4.71;             0.5483;11764;7868;4225;5966;6127;12093;          0.349;662;-4.025.531;-1.652.691
6040;630;Santo Antônio do Monte;        1132.6;              17.64;              22.58;             0.6026;19020;4657;13322;8929;9050;17979;          0.741;4327;-4.527.807;-2.009.635
6050;631;Santo Antônio do Rio Abaixo;         107.5;               6.77;               6.23;             0.5670;2022;1491;610;1065;1036;2101;          0.290;1668;-4.324.890;-1.924.236
6060;632;Santo Hipólito;         432.1;              11.86;              12.43;             0.5417;3735;1627;2078;1811;1894;3705;          0.561;3026;-4.416.770;-1.839.202
6070;633;Santos Dumont;         639.1;              19.31;              18.16;             0.5632;46200;6878;38087;22976;21989;44965;          0.847;8177;-4.350.954;-2.148.872
